# stoch delay Mathieu 2nd moment ρ(H); v6 high-order moment-collocation (Krylov) vs SDM
# A=3.0 B=0.5 α=0.1 ε=2.0 ζ=0.1 T=4π τ=2π; present+delayed mult noise; ref=v6 GL4 p120 converged=0.15622747264186265
method,order,p,rho,cputime,abserr
SDM0,0,212,0.160707120367,1.19600009918,0.00447964772559
SDM0,0,320,0.159270912119,1.31600022316,0.00304343947678
SDM2,2,8,0.223912571088,0,0.0676850984463
SDM2,2,12,0.163230442485,0,0.00700296984327
SDM2,2,18,0.160609313487,0.00699996948242,0.00438184084519
SDM2,2,27,0.160452061593,0.00699996948242,0.00422458895081
SDM2,2,41,0.158266756891,0.0090000629425,0.00203928424874
SDM2,2,62,0.156776513006,0.0239999294281,0.000549040363808
SDM2,2,94,0.156419906307,0.0490000247955,0.000192433664866
SDM2,2,141,0.156446204118,1.03399991989,0.000218731476222
SDM2,2,212,0.156227218531,1.17300009727,2.5411096477e-07
SDM2,2,320,0.156214417903,1.45100021362,1.30547392458e-05
SDM4,4,8,0.214519972149,0,0.058292499507
SDM4,4,12,0.165595492896,0.00799989700317,0.00936802025369
SDM4,4,18,0.160997348818,0,0.00476987617641
SDM4,4,27,0.159329366138,0.00799989700317,0.00310189349621
SDM4,4,41,0.157250538979,0.0230000019073,0.00102306633748
SDM4,4,62,0.156044984329,0.0420000553131,0.000182488312465
SDM4,4,94,0.155918379579,0.0660002231598,0.00030909306332
SDM4,4,141,0.156112204096,1.09899997711,0.000115268545478
SDM4,4,212,0.155999721909,1.6859998703,0.000227750732593
SDM4,4,320,0.156062617666,1.49099993706,0.000164854976032
